Stagione,Occasione,Tipo abbigliamento,Comfort o stile?,Sesso,Colore1,Colore2,Top_outfit,Bottom_outfit
Estate,Lavoro,Elegante,Comodità,Femmina,Viola,Rosa,maglia,gonna
Inverno,Occasione formale,Elegante,Stile,Femmina,Blu,Viola,maglia,gonna
Primavera,Occasione formale,Elegante,Stile,Femmina,Giallo,Bianco,maglia,pantalone
Estate,Scuola,Elegante,Stile,Maschio,Nero,Arancione,maglia,pantalone
Autunno,Lavoro,Casual,Stile,Femmina,Giallo,Beige,giacca,pantalone
Inverno,Occasione formale,Elegante,Stile,Femmina,Grigio,Azzurro,maglia,gonna
Primavera,Lavoro,Streetwear,Comodità,Maschio,Verde,Azzurro,maglia,pantalone
Estate,Occasione formale,Elegante,Stile,Maschio,Verde,Rosa,giacca,pantalone
Inverno,Svago,Sportivo,Comodità,Maschio,Blu,Giallo,felpa,pantalone
Autunno,Lavoro,Casual,Stile,Maschio,Rosa,Beige,giacca,pantalone
Inverno,Lavoro,Streetwear,Comodità,Femmina,Blu,Bianco,felpa,pantalone
Inverno,Svago,Elegante,Comodità,Femmina,Viola,Bianco,felpa,pantalone
Inverno,Lavoro,Elegante,Comodità,Maschio,Blu,Grigio,giacca,pantalone
Inverno,Svago,Sportivo,Comodità,Maschio,Nero,Grigio,maglia,pantalone
Estate,Svago,Sportivo,Comodità,Maschio,Blu,Beige,maglia,pantalone corto
Estate,Svago,Casual,Comodità,Maschio,Verde,Bianco,camicia,pantalone
Autunno,Lavoro,Elegante,Comodità,Maschio,Nero,Giallo,giacca,pantalone
Primavera,Scuola,Casual,Stile,Maschio,Arancione,Grigio,felpa,pantalone
Estate,Lavoro,Casual,Stile,Femmina,Viola,Nero,maglia,pantalone
Inverno,Svago,Casual,Comodità,Maschio,Blu,Nero,felpa,pantalone
Estate,Occasione formale,Elegante,Stile,Femmina,Rosa,Nero,maglia,gonna
Autunno,Svago,Casual,Comodità,Maschio,Rosso,Blu,maglia,pantalone
Primavera,Scuola,Casual,Comodità,Femmina,Beige,Bianco,felpa,pantalone
Inverno,Lavoro,Elegante,Stile,Femmina,Nero,Azzurro,maglia,gonna
Autunno,Occasione formale,Elegante,Stile,Maschio,Rosso,Nero,giacca,pantalone
Estate,Lavoro,Casual,Comodità,Maschio,Verde,Nero,camicia,pantalone
Inverno,Svago,Elegante,Stile,Femmina,Viola,Nero,maglia,gonna
Primavera,Lavoro,Casual,Comodità,Maschio,Rosa,Blu,maglia,pantalone
Autunno,Scuola,Casual,Comodità,Maschio,Azzurro,Marrone,felpa,pantalone
Estate,Scuola,Streetwear,Stile,Femmina,Beige,Lilla,maglia,pantalone
Inverno,Lavoro,Casual,Stile,Femmina,Beige,Bianco,maglia,pantalone
Inverno,Svago,Casual,Stile,Femmina,Blu,Lilla,maglia,pantalone
Inverno,Svago,Sportivo,Comodità,Maschio,Viola,Grigio,felpa,pantalone
